omega_omega_n,gamma_omega_n,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
2.606170323,0.133204474,4.199158969,4.636568806,1.505806904,0.930672496,0.08072891,0.1211153,1,1.203413732,10
2.697653596,0.052701252,2.38472192,2.228669742,3.739723843,0.112928948,0.009725363,0.146184969,1,7.290538759,10
2.667182167,0.107518493,0.467376602,3.516628603,3.026535543,0.281867501,0.004044056,0.026717239,1,3.736894385,10
2.528390724,0.040795734,0.499769648,1.855098612,3.343886839,0.348701845,0.023375685,0.140630271,1,4.429499395,10
2.820249143,0.001905675,1.746321546,3.945957879,1.897677818,0.034415468,0.000596805,0.067360704,1,3.074086707,10
2.863985576,0.090085455,1.413562552,2.105780435,2.651534968,0.182022893,0.014197627,0.103839977,1,2.658359523,10
2.516686703,0.099559803,0.709390043,2.453045323,2.536215934,0.83674333,0.007009514,0.020809314,1,3.780183313,10
2.452210008,0.242759546,1.850660402,3.786904327,4.553052907,0.441941247,0.015372152,0.069678028,1,8.682631438,10
2.355513339,0.146907128,0.586646978,4.024353897,2.00900226,0.468022817,0.072611246,0.054114464,1,0.861403278,10
3.145990811,0.147702047,0.763287708,2.485332631,3.804197417,0.630347389,0.05280781,0.180223314,1,2.892677956,10
2.270867744,0.043949804,0.011481695,1.335032741,2.716173511,0.283233888,0.028064533,0.239614473,1,5.23449331,10
2.256555484,0.05927789,4.422466649,1.941123381,2.182949285,0.091221248,0.005160302,0.067294316,1,6.410122086,10
2.240745278,0.00233781,0.477164216,4.29862646,4.394028253,0.132743206,0.003058727,0.132288468,1,8.179834855,10
2.454081832,0.021450282,0.044500494,2.515145622,4.059086584,0.456526452,0.032467024,0.274308709,1,5.73770435,10
2.185931189,0.010367978,0.971401433,1.980948742,1.982101487,0.441026257,0.015868732,0.242944967,1,3.084650748,10
3.114901581,0.177737672,0.763815204,2.876555311,3.260807348,0.274943796,0.007270539,0.010640887,1,2.415300073,10
2.100896382,0.024013088,0.078684572,2.634195852,2.578155919,0.509531124,0.016191498,0.16827884,1,1.193099324,10
3.686442729,0.315511023,2.227074645,3.141982111,3.121133731,0.449951099,0.009376205,0.064744775,1,0.042005927,10
4.7786204,0.152928711,9.587340896,1.891158677,4.123207125,0.757509247,0.047548104,0.28151884,1,2.813075888,10
0,0,1.802708857,1.087447104,3.538881396,0.036724551,0.000886617,0.056752289,1,0.222290234,10
0,0,0.291975583,4.079480424,4.390119284,0.250287894,0.004857812,0.119859499,1,5.816221796,10
3.233226148,0.163042842,1.572242935,2.348815695,2.898528812,0.146932109,0.001951614,0.014867204,1,2.164286402,10
1.644731979,0.124999588,1.448158446,3.58841513,1.594993779,0.68625204,0.067491099,0.053523103,1,6.38183207,10
0,0,4.22243095,3.835835024,4.974565169,0.062384904,0.000629948,0.125940096,1,7.59401906,10
0,0,0.761181367,1.97661468,4.023058515,0.108418529,0.002756995,0.0145693,1,0.076431818,10
1.536417289,0.029949201,2.460022583,4.817082425,1.410156287,0.200230464,0.00643632,0.013685505,1,7.407795102,10
0,0,1.203394551,1.720181148,4.083795032,0.141845376,0.006725709,0.018675457,1,0.044045515,10
0,0,0.549002039,3.106252893,1.308564426,0.407625201,0.092604423,0.221381831,1,9.973761352,10
0,0,9.410167627,2.183428046,3.2524271,0.03540421,0.000532826,0.129986405,1,4.500600774,10
4.447856919,0.243222512,4.518200471,3.156771292,3.480015666,0.357236064,0.005493258,0.084138183,1,1.330564602,10
0,0,0.316555632,1.8039799,3.604164957,0.135242475,0.009501239,0.22022554,1,2.896624015,10
0,0,0.117627008,3.702208339,1.763690594,0.010917013,0.001131343,0.237303212,1,9.686106077,10
0,0,0.61063062,3.797411768,3.918904354,0.217086923,0.022692236,0.088674354,1,4.425891784,10
2.01537399,0.022057488,0.020273592,1.354869125,3.265110714,0.375973743,0.00886878,0.170362607,1,7.315805697,10
1.947378129,0.008998263,0.047061663,1.324000156,1.884707796,0.17572133,0.008260893,0.029449699,1,1.581699258,10
0,0,1.097751528,1.046562668,2.230238004,0.122435904,0.018426284,0.118345498,1,6.257687482,10
0,0,1.15772753,2.208962148,2.618548186,0.012832487,0.000531134,0.01642478,1,5.402621578,10
3.146324053,0.130024951,2.974728571,1.755423833,2.521276867,0.370814677,0.007406636,0.128433885,1,0.776634315,10
0,0,0.110154996,4.929174036,0.576133717,0.005418429,0.000789475,0.253763076,1,2.811584636,10
0,0,0.067124751,4.874137955,4.905319017,0.176207586,0.003352374,0.149213106,1,8.215542759,10
0,0,0.096604754,3.836516051,2.107021605,0.076539988,0.009356353,0.165276884,1,3.908792948,10
0,0,0.586241836,1.801001406,3.738065771,0.275133805,0.005522443,0.151054357,1,2.947063562,10
0,0,0.135242475,3.448664092,1.94352484,0.046673128,0.002078638,0.151178993,1,1.586421465,10
1.154393859,0.032329719,0.026034039,1.979074177,0.713782152,0.339197814,0.054513707,0.107184578,1,4.213923616,10
0,0,0.047749398,1.320050117,1.191994387,0.019038291,0.002655199,0.298488425,1,2.054646641,10
0,0,0.719756704,3.610979725,2.052154292,0.085900047,0.002063275,0.207492092,1,2.64533373,10
4.035541815,0.028406344,0.839638626,2.899086731,2.962499917,0.012525924,0.000942824,0.191234649,1,0.187045194,10
0,0,1.252592425,4.941699202,3.075032693,0.037831868,0.004286778,0.214927119,1,8.694922444,10
0,0,0.019223319,4.270172923,1.722165176,0.006364736,0.000599022,0.039727747,1,6.71841772,10
0,0,3.018199722,3.017196361,3.579738509,0.164445352,0.000978452,0.095627843,1,5.36840413,10
0,0,3.16337017,3.699947604,2.300101532,0.025098049,0.002876379,0.282495997,1,8.157202258,10
1.40078707,0.072362664,0.028996544,2.451346631,1.289204597,0.37831868,0.027563448,0.016541383,1,4.283008054,10
0,0,0.257300745,4.950864493,2.49215705,0.060642665,0.000643784,0.265852585,1,2.118079615,10
0,0,3.530650961,1.838677269,4.235375245,0.109547876,0.002978752,0.222604591,1,0.954181315,10
0,0,0.617417675,1.118714043,1.260007532,0.008419621,0.001057154,0.208558351,1,1.368439444,10
0,0,0.2009233,2.125711176,2.088897877,0.02736174,0.001681622,0.196567815,1,1.049604339,10
0,0,0.035453161,4.878712974,2.289155977,0.014491592,0.001505331,0.231566016,1,5.797379817,10
0,0,8.379002485,3.379021099,2.622995862,0.129214464,0.002631388,0.07315869,1,9.06633736,10
3.384067689,0.199840681,3.60458844,1.100115995,4.949019639,0.212634027,0.004208008,0.068973988,1,6.440661093,10
0,0,2.734284398,4.539020388,1.678654566,0.037597374,0.007072941,0.210268747,1,6.063943004,10
0,0,7.0256202,1.63427397,1.760575221,0.173669667,0.001111732,0.094948286,1,5.850999686,10
0,0,2.546481903,2.520503557,2.736364564,0.114658417,0.022982661,0.257040928,1,6.669175658,10
4.473044109,0.139596178,3.34312346,1.263071192,3.81511977,0.038918762,0.010801169,0.042317693,1,4.658019446,10
0,0,2.974728571,4.584661903,2.753709003,0.219499807,0.007193895,0.216892585,1,9.609733339,10
1.251367698,0.033113412,0.010871854,3.423581291,0.749489472,0.332929467,0.01022746,0.034686515,1,3.259951553,10
0,0,5.123549744,2.633982723,1.924119986,0.005589523,0.093889063,0.075900396,1,4.604098144,10
0,0,6.480091797,4.651038267,3.886427214,0.137029376,0.017503123,0.051790702,1,6.312236774,10
0,0,0.26250762,1.562215482,4.360325991,0.0234227,0.003471689,0.045539254,1,8.843880673,10
0,0,0.341785296,3.223900195,1.142225226,0.844291952,0.088949221,0.115226655,1,1.39269844,10
0,0,0.026106081,4.899109804,4.986423559,0.351361826,0.045647133,0.288486249,1,2.681849523,10
0,0,1.551740452,4.277040113,3.225015771,0.026469289,0.001129546,0.2469177,1,1.535895278,10
0,0,6.680092531,3.309089835,4.50701267,0.01145001,0.001104685,0.082027452,1,7.401527507,10
0,0,5.520446399,1.267061907,1.264829192,0.004090357,0.07503635,0.235572307,1,4.197674886,10
0,0,0.742997066,3.996522077,1.796960042,0.039297004,0.001808238,0.238657402,1,4.452854517,10
0,0,1.811447712,2.829810406,4.573757083,0.096072316,0.016114465,0.129527357,1,7.933516725,10
0,0,0.288765998,2.491920594,0.686475967,0.00958072,0.00176844,0.144041837,1,0.381101886,10
0,0,0.260880516,3.932623562,4.499204585,0.427822012,0.002663654,0.285646059,1,8.496592977,10
0,0,0.048113641,1.603742214,0.954176795,0.009371243,0.00282203,0.07086725,1,4.760084117,10
0,0,1.053906979,2.609414674,1.906764951,0.015011277,0.003379126,0.137956643,1,8.338855951,10
3.943264254,0.13391508,2.003688396,2.555842039,3.929156562,0.550901693,0.057693807,0.045920268,1,0.765683505,10
0,0,0.025605947,3.267195238,2.259904099,0.05418429,0.020715509,0.068486868,1,7.336087827,10
0,0,0.152411698,4.111617523,2.386285672,0.149079299,0.001356836,0.239382663,1,3.018426898,10
0,0,0.802768752,3.182470448,0.892590865,0.029036636,0.009077984,0.298228496,1,8.949135486,10
0,0,0.411302563,3.850196459,3.907906807,0.105317914,0.000806387,0.06199346,1,4.904129111,10
0,0,4.468533483,1.813672738,2.043084636,0.91221248,0.012541985,0.208260311,1,5.976877313,10
0,0,0.252371439,3.54845764,0.729199959,0.186348985,0.00841107,0.294717424,1,0.133203093,10
0,0,2.637801581,2.865087511,4.177319376,0.637794057,0.002363031,0.084159623,1,1.714521992,10
0,0,1.141841335,4.850258815,3.448426407,0.551663395,0.003407897,0.130976751,1,6.497411822,10
0,0,7.517745317,4.321316228,3.742600772,0.003728698,0.001417842,0.19398765,1,0.661043515,10
0,0,0.184300517,2.114025944,3.300299485,0.22056386,0.001813036,0.169419454,1,3.134023708,10
0,0,2.956290275,4.253290558,4.133541721,0.009332479,0.000759923,0.210273479,1,4.155549415,10
0,0,1.517812488,2.352918837,3.517660469,0.288168141,0.001669193,0.28529092,1,8.928839046,10
0,0,0.086555313,4.925166583,3.844603372,0.368007429,0.07257278,0.284833934,1,6.437960513,10
0,0,1.585331219,4.552974145,1.898018843,0.163991554,0.000546552,0.105972359,1,5.700418632,10
0,0,0.122098034,3.247358727,1.969303836,0.402031818,0.000627616,0.087343015,1,0.840592279,10
0,0,0.240457376,2.367567813,0.651672625,0.042195149,0.003471689,0.182480846,1,6.955441602,10
