omega_omega_n,gamma_omega_n,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
2.4118278756623655,-0.1648720684219621,8.0,1.0,1.3,0.06,0.0005,0.02,1,1.9000000000000001,10.0
4.9048754555099086,0.08792901089203055,8.0,1.0,3.7,0.06,0.002,0.09,1,0.0,10.0
3.419307495857887,0.11508707522111117,6.0,2.0,2.1,0.06,0.002,0.02,1,0.8,10.0
4.378328507375898,0.13922025540851043,3.0,2.0,2.9000000000000004,0.02,0.0015,0.04,1,0.4,10.0
1.0035217335211917,-0.014400104885328698,2.0,1.5,0.5,0.08,0.0005,0.06999999999999999,1,0.2,10.0
5.409754248952911,-0.004157275787773584,2.0,2.0,4.5,0.04,0.002,0.04,1,1.0,10.0
0.0,0.0,9.0,1.5,4.5,0.02,0.0025,0.02,1,1.4000000000000001,10.0
2.300092047081147,0.05810920317923421,3.0,2.0,1.3,0.06,0.002,0.060000000000000005,1,1.6,10.0
3.2238026896437684,0.034800741022023934,6.0,1.5,2.1,0.06,0.001,0.05,1,1.9000000000000001,10.0
4.559343877448259,-0.08139867567883806,2.0,1.0,4.5,0.04,0.0005,0.02,1,1.9000000000000001,10.0
2.4918512122624104,-0.021782554927351462,1.0,1.0,2.1,0.06,0.002,0.04,1,0.9,10.0
3.1618092480918496,0.014897577702456788,7.0,1.0,2.1,0.06,0.001,0.060000000000000005,1,1.5,10.0
1.6682675530853632,-0.023715810461511447,6.0,2.0,0.5,0.04,0.002,0.01,1,1.5,10.0
3.233920487961898,0.06897429082670557,2.0,2.0,2.1,0.02,0.0015,0.01,1,0.30000000000000004,10.0
3.0053107256300136,0.0931433035119049,3.0,1.5,2.1,0.06,0.0025,0.06999999999999999,1,0.30000000000000004,10.0
0.0,0.0,9.0,1.0,1.3,0.02,0.0025,0.04,1,0.2,10.0
3.4037786394777356,-0.059383795934612654,9.0,1.0,2.1,0.04,0.0005,0.05,1,0.7000000000000001,10.0
5.342178852183339,0.2048463015957097,8.0,1.0,4.5,0.08,0.001,0.03,1,1.8,10.0
6.260062497195232,0.10781427192994684,7.0,2.0,4.5,0.06,0.0025,0.04,1,0.5,10.0
4.817700283138954,-0.0026817245814930724,2.0,1.5,4.5,0.04,0.002,0.09,1,1.3,10.0
2.8572055509657788,0.07661174621769415,3.0,1.0,2.1,0.06,0.0025,0.060000000000000005,1,0.2,10.0
3.7876783749637593,-0.08189780769297317,1.0,1.5,3.7,0.06,0.0025,0.060000000000000005,1,1.2000000000000002,10.0
2.475362658219383,-0.011460803218843924,9.0,1.0,1.3,0.04,0.0015,0.060000000000000005,1,1.5,10.0
4.11387995293264,0.12711118314654982,5.0,1.5,2.9000000000000004,0.04,0.0015,0.060000000000000005,1,1.1,10.0
4.102021487503435,0.031554309653033956,6.0,1.5,2.9000000000000004,0.06,0.0005,0.03,1,0.9,10.0
2.5957668331475436,-0.08086387119633717,7.0,1.5,1.3,0.04,0.0005,0.01,1,0.0,10.0
4.151909169763629,0.11411598499346844,8.0,1.5,2.9000000000000004,0.08,0.0025,0.060000000000000005,1,1.5,10.0
2.225620918712286,0.02787977609305948,2.0,2.0,1.3,0.06,0.001,0.04,1,0.7000000000000001,10.0
0.0,0.0,9.0,1.5,0.5,0.02,0.0025,0.060000000000000005,1,1.2000000000000002,10.0
1.5526953468736273,0.0006314301156704464,4.0,2.0,0.5,0.04,0.0025,0.04,1,1.6,10.0
2.139733871611358,-0.01503057479735626,2.0,1.5,1.3,0.04,0.0005,0.02,1,1.7000000000000002,10.0
4.483070117898878,0.2260926290121884,5.0,2.0,2.9000000000000004,0.02,0.0005,0.060000000000000005,1,0.5,10.0
0.0,0.0,3.0,2.0,4.5,0.02,0.002,0.01,1,0.5,10.0
3.6878706277454447,0.035631197636387474,2.0,2.0,2.9000000000000004,0.04,0.002,0.06999999999999999,1,1.8,10.0
4.77554271071976,0.05708490887193505,7.0,1.0,3.7,0.06,0.0025,0.08,1,1.0,10.0
2.563562094469592,-0.047085636124540184,9.0,1.5,1.3,0.06,0.0025,0.09,1,1.3,10.0
3.7892700804825004,0.13828191655255626,5.0,1.0,2.9000000000000004,0.04,0.001,0.01,1,1.8,10.0
5.336922281850988,0.07038975758293875,6.0,1.0,4.5,0.06,0.002,0.06999999999999999,1,1.5,10.0
6.718629369043916,0.36991391217053593,9.0,1.5,4.5,0.02,0.001,0.04,1,0.8,10.0
5.607980990281565,0.22971086507977015,9.0,1.5,3.7,0.02,0.001,0.04,1,1.6,10.0
0.6816467815944011,-0.01951662948816783,5.0,2.0,0.5,0.08,0.001,0.01,1,1.1,10.0
4.10410091223356,-0.10861989684971475,1.0,1.5,3.7,0.02,0.0005,0.03,1,1.7000000000000002,10.0
1.6328322655184218,-0.13601509927262953,9.0,1.5,0.5,0.08,0.002,0.060000000000000005,1,1.3,10.0
5.10202960482968,0.17270682832970682,5.0,1.0,4.5,0.08,0.0015,0.03,1,0.30000000000000004,10.0
0.9520998910623054,-0.0247803466184113,2.0,1.0,0.5,0.08,0.0015,0.06999999999999999,1,1.3,10.0
3.9493824956357395,-0.031030050257500465,2.0,1.0,3.7,0.04,0.0005,0.01,1,1.7000000000000002,10.0
3.073567183887575,0.043011432611725506,7.0,1.0,2.1,0.08,0.002,0.08,1,1.9000000000000001,10.0
