q_scale,q_shift,n,m,rho_tor,omega_kHz,gamma_cs_a,omega_n_kHz,omega_n_cs_a,omega_e_plasma_kHz,omega_e_lab_kHz,peak_percentage,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
1.017999999999998,0.0,3,17,0.9738728901305339,52.54396661421298,0.06900838932580247,23.472718991141925,0.8488542789717458,52.01952729167068,52.01952729167068,0.8923807796353965,1.5252835495765034,2.7885369861203984,1.2161696440579242,0.007432703799655761,0.0005490812709588671,0.03786600359241158,1,2.818453639757154,9.770639284491459
1.018499999999998,0.0,3,17,0.9737896832660777,52.74697859283651,0.07013711096079396,23.549079412138994,0.8516157345207134,52.155859595186996,52.155859595186996,0.8947195230580202,1.5216687086354714,2.7885369861203984,1.2147727595798026,0.007416274473269691,0.0005528287617566044,0.03794539141634437,1,2.7871374882043214,9.770639284491459
1.018999999999998,0.0,3,17,0.9736232695371652,53.12397829687509,0.07231405264065346,23.68874955411483,0.8566666874037399,52.39874428290658,52.39874428290658,0.8988861435229355,1.5144973399239745,2.7885369861203984,1.211967506482616,0.0073797808154396636,0.0005603850493883805,0.03808576329533935,1,2.7245051850985735,9.770639284491459
1.0194999999999979,0.0,3,17,0.973540062672709,53.32394407697327,0.07339123582741877,23.763649577435512,0.8593753299480842,52.530955678252425,52.530955678252425,0.9011541938916727,1.510943878007974,2.7885369861203984,1.2105592622495394,0.007359696973965722,0.0005641937962031337,0.038165328797041716,1,2.6931890335457416,9.770639284491459
1.0199999999999978,0.0,3,17,0.9733736489437965,53.69464393518487,0.07546044020987754,23.90029761924611,0.864316993291296,52.7654477085304,52.7654477085304,0.9051768406109415,1.5038952034634188,2.7885369861203984,1.2077318261526653,0.007315805572437936,0.0005718723615686604,0.03830597010558225,1,2.630556730440035,9.770639284491459
1.0204999999999977,0.0,3,17,0.9732904420793402,53.89162597354145,0.07648292275151633,23.973729544447654,0.8669725443565128,52.89354497015809,52.89354497015809,0.9073743141396711,1.500403018687194,2.7885369861203984,1.2063127421243607,0.007291977639598023,0.0005757421227335818,0.03838571681471457,1,2.5992405788871613,9.770639284491459
1.0209999999999977,0.0,3,17,0.9731240283504278,54.25621724761726,0.07843806576578584,24.10734531924823,0.8718045504918223,53.119669766095065,53.119669766095065,0.9112534232396386,1.4934767739559032,2.7885369861203984,1.2034640920699913,0.007240505344521096,0.0005835424495273831,0.03852663558238338,1,2.5366082757814548,9.770639284491459
1.0214999999999976,0.0,3,17,0.9730408214859715,54.45033942449243,0.07940263533340934,24.179303164048697,0.8744067937380143,53.24366248686533,53.24366248686533,0.9133804844912661,1.4900457052847575,2.7885369861203984,1.202034613058301,0.007212840134604689,0.0005874729504308936,0.03860656804778185,1,2.505292124228581,9.770639284491459
1.0219999999999976,0.0,3,17,0.972874407757059,54.80913184038906,0.08123740732927111,24.309872695195118,0.8791286372218817,53.461434284573926,53.461434284573926,0.9171163001885555,1.4832415138954327,2.7885369861203984,1.1991655388282088,0.00715359892035153,0.000595394455239671,0.03874777431144189,1,2.442659821122875,9.770639284491459
1.0224999999999975,0.0,3,17,0.9727912008926027,55.000588887508485,0.08214095888768017,24.380350083724522,0.8816773420756533,53.58132999819695,53.58132999819695,0.9191730784018205,1.4798713478055878,2.7885369861203984,1.1977260299459769,0.0071220004261409965,0.0005993853865303438,0.038827898066024075,1,2.4113436695700012,9.770639284491459
