n,m,rho_tor,omega_kHz,gamma_cs_a,omega_n_kHz,omega_n_cs_a,omega_e_plasma_kHz,omega_e_lab_kHz,peak_percentage,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
6,32,0.966301065,20.975416259095734,0.048430032810530904,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.4,11.30303037
6,32,0.966301065,20.960843173889703,0.047866241703767395,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.45,11.30303037
6,32,0.966301065,20.945748555723164,0.04728244872355352,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.5,11.30303037
6,32,0.966301065,20.930131374907756,0.0466786236932565,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.55,11.30303037
6,32,0.966301065,20.913990572693294,0.04605473396467383,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.6,11.30303037
6,32,0.966301065,20.897325062275247,0.04541074422453784,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.65,11.30303037
6,32,0.966301065,20.880133729955592,0.044746616282785055,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.7,11.30303037
6,32,0.966301065,20.86241543643124,0.044062308844196436,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.75,11.30303037
6,32,0.966301065,20.844169018243104,0.04335777725974113,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.8,11.30303037
6,32,0.966301065,20.825393289419125,0.04263297325629066,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.85,11.30303037
6,32,0.966301065,20.806087043310526,0.04188784464296686,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.9,11.30303037
6,32,0.966301065,20.78624905466843,0.041122334990895494,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,1.95,11.30303037
6,32,0.966301065,20.76587808197551,0.040336383284810054,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,2.0,11.30303037
6,32,0.966301065,20.7449728700781,0.03952992354267901,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,2.05,11.30303037
6,32,0.966301065,20.723532153154842,0.03870288440129535,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,2.1,11.30303037
6,32,0.966301065,20.701554658049176,0.037855188661843286,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,2.15,11.30303037
6,32,0.966301065,20.6790391080555,0.036986752794817335,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,2.2,11.30303037
