n,m,rho_tor,omega_kHz,gamma_cs_a,omega_n_kHz,omega_n_cs_a,omega_e_plasma_kHz,omega_e_lab_kHz,peak_percentage,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
6,32,0.966301065,21.174868580646905,0.05616659239390214,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.0,11.30303037
6,32,0.966301065,21.174615362666433,0.05615674256025137,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.05,11.30303037
6,32,0.966301065,21.173855690468724,0.05612719282215918,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.1,11.30303037
6,32,0.966301065,21.172589509286713,0.05607794246668856,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.15,11.30303037
6,32,0.966301065,21.170816727848464,0.05600899030061531,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.2,11.30303037
6,32,0.966301065,21.168537218390384,0.05592033464268057,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.25,11.30303037
6,32,0.966301065,21.16575081668184,0.0558119733131558,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.3,11.30303037
6,32,0.966301065,21.162457322040737,0.05568390361957211,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.35,11.30303037
6,32,0.966301065,21.15865649737312,0.055536122340071076,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.4,11.30303037
6,32,0.966301065,21.15434806920542,0.05536862570283768,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.45,11.30303037
6,32,0.966301065,21.149531727736353,0.05518140936230619,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.5,11.30303037
6,32,0.966301065,21.144207126887643,0.054974468371923664,8.907565098,0.322128201,18.50545276,18.50545276,0.999986358,1.300698076,3.166030952,1.07738511,0.003955313,0.000967655,0.08361030000000001,1,0.55,11.30303037
