q_scale,q_shift,n,m,rho_tor,omega_kHz,gamma_cs_a,omega_n_kHz,omega_n_cs_a,omega_e_plasma_kHz,omega_e_lab_kHz,peak_percentage,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
1.0,0.0,6,33,0.9706278224167405,111.56496755484444,0.15483566556162331,50.27486156271605,1.8181119698288315,108.55075075057448,108.55075075057448,0.9052159250961016,0.989271924208253,2.7885369861203984,1.15914569183172,0.0059144181915527505,0.0007100404835469333,0.05592040997755888,1,1.597123729195737,9.770639284491459
1.0005,0.0,6,33,0.970461408687828,112.19720358206327,0.15786079179342966,50.46696219889628,1.8250589897746812,108.81104570581522,108.81104570581522,0.9073865516194272,0.9852723052614843,2.7885369861203984,1.156084712945035,0.00581634773002387,0.0007190846718862404,0.05611921691506509,1,1.5344914260900309,9.770639284491459
1.001,0.0,6,33,0.9702949949589155,112.81979805628491,0.16118939596145176,50.6545299825179,1.8318420861762759,109.05969760384158,109.05969760384158,0.9094600854857754,0.9813265850132489,2.7885369861203984,1.1530097632231653,0.0057198751008150465,0.0007282018424219261,0.0563181948719169,1,1.471859122984283,9.770639284491459
1.0014999999999998,0.0,6,33,0.970128581230003,113.43125007114392,0.16486579729887724,50.83758377818384,1.8384619412425633,109.29678919556936,109.29678919556936,0.9114372167635821,0.9774344472862685,2.7885369861203984,1.1499210047522437,0.005624997146581297,0.0007373912917297849,0.05651731948905178,1,1.409226819878577,9.770639284491459
1.0019999999999998,0.0,6,33,0.9699621675010905,114.02934078038403,0.16892292012405768,51.015983530925276,1.8449134901039976,109.52199354980749,109.52199354980749,0.9133152191398693,0.9735955710464095,2.7885369861203984,1.1468172515661996,0.005531729570742323,0.0007466522908699933,0.05671656643971318,1,1.3465945167728708,9.770639284491459
1.0024999999999997,0.0,6,33,0.9697957537721781,114.61204560855464,0.17338184331682552,51.189719878317774,1.851196394183099,109.73531984128925,109.73531984128925,0.9150941691236857,0.9698096502086059,2.7885369861203984,1.1436983851863083,0.0054400742565189186,0.0007559840552472506,0.05691591073281075,1,1.2839622136671645,9.770639284491459
1.0029999999999997,0.0,6,33,0.9696293400432656,115.17975976462787,0.17825689171395478,51.359644053946795,1.8573414370150723,109.93898326936099,109.93898326936099,0.9167925394912367,0.9660763026476382,2.7885369861203984,1.1405713628755692,0.005349945274924347,0.000765385887787178,0.05711533000231377,1,1.2213299105614583,9.770639284491459
1.0034999999999996,0.0,6,33,0.969462926314353,115.73233145456102,0.18354861852943904,51.52641387476045,1.8633724075240468,110.13469346112342,110.13469346112342,0.9184245869995403,0.9623950410386185,2.7885369861203984,1.1374414631069731,0.005261285483206458,0.0007748572368471823,0.05731480569258538,1,1.1586976074557105,9.770639284491459
1.0039999999999996,0.0,6,33,0.9692965125854406,116.26919946735093,0.18924427628518387,51.69051627144398,1.8693069147989347,110.32371410749083,110.32371410749083,0.9200008496976851,0.9587652855636323,2.7885369861203984,1.13431248254795,0.0051740617468140244,0.0007843976903179981,0.057514322750843797,1,1.0960653043500042,9.770639284491459
1.0044999999999995,0.0,6,33,0.9691300988565281,116.78801063386128,0.19531387103007677,51.85177297035401,1.8751385118514234,110.50560003087638,110.50560003087638,0.9215176152037822,0.9551864532658716,2.7885369861203984,1.1311826713053261,0.005088310814412897,0.0007940068396241868,0.05771386645033725,1,1.033433001244298,9.770639284491459
1.0049999999999994,0.0,6,33,0.9688804782631594,117.49955936400407,0.204986614949848,52.075332091710976,1.883223178857348,110.73743945167456,110.73743945167456,0.9234509480855951,0.9499114228725029,2.7885369861203984,1.1264855163410672,0.004962490424086418,0.0008085483893900578,0.05799883419483588,1,0.9394845465857179,9.770639284491459
1.0054999999999994,0.0,6,33,0.9687140645342469,117.96640848511423,0.21180654294831128,52.22939545154216,1.8887946400193385,110.90139454577246,110.90139454577246,0.924818186553794,0.946457458150466,2.7885369861203984,1.1233520623202602,0.004880508964804333,0.0008183273059534906,0.058198335283250635,1,0.8768522434800118,9.770639284491459
1.0059999999999993,0.0,6,33,0.9684644439408782,118.59421138833714,0.22236665942566797,52.44203151513713,1.8964842916747098,111.10618776592156,111.10618776592156,0.9265259783741991,0.9413671610436477,2.7885369861203984,1.1186476678320776,0.004760440418225713,0.0008331213130414125,0.05848306175453195,1,0.7829037888214315,9.770639284491459
1.0064999999999993,0.0,6,33,0.9682980302119657,119.0025268127859,0.2296137419631889,52.5888089126433,1.901792267370941,111.25204611967862,111.25204611967862,0.9277423062550867,0.9380346563113476,2.7885369861203984,1.115508002938085,0.004682362386612764,0.0008430670151013229,0.05868242419216472,1,0.7202714857157254,9.770639284491459
1.0069999999999992,0.0,6,33,0.968048409618597,119.53951394684239,0.24055129892105925,52.79037171570657,1.9090814718268188,111.42951037569253,111.42951037569253,0.9292221990201607,0.9331240769939424,2.7885369861203984,1.1107923046228374,0.00456825356699996,0.0008581088254423616,0.058966764459209314,1,0.6263230310571453,9.770639284491459
1.0074999999999992,0.0,6,33,0.9678819958896845,119.8862976461531,0.2478818847475388,52.92976678087537,1.9141224769860732,111.55709156012625,111.55709156012625,0.9302861116978113,0.9299097517746795,2.7885369861203984,1.1076437389562461,0.0044942204238903145,0.0008682180904978172,0.05916589063610696,1,0.563690727951439,9.770639284491459
1.0079999999999991,0.0,6,33,0.9676323752963157,120.33026264867749,0.2586913091977869,53.12011524067489,1.9210061322054572,111.70695809449623,111.70695809449623,0.9315358642109227,0.925174063496079,2.7885369861203984,1.1029125706594944,0.004386288972817017,0.0008835026900613224,0.05944969745341959,1,0.46974227329285895,9.770639284491459
