name,factor,offset,log
nu,0.0,-inf,1
zeff,0.250000088000031,1.0,0
eta,0.22222225701863244,0.5,0
shat,0.14476482730108395,-6.907755278982137,1
beta,0.18873916581774772,-7.600902459542282,1
ky,3.44827718191481,0.01,0
mu_norm,1.0,0.0,0
omega_omega_n,0.052153539380020306,-2.112727237321356,0
gamma_omega_n,0.13657152265658878,-2.186049639003867,0
