name,factor,offset,log
nu,0.10869222557916602,-4.605170185988091,1
zeff,0.25000226398286146,1.0,0
eta,0.222222341293986,0.5,0
shat,0.14476482730108395,-6.907755278982137,1
beta,0.18873916581774772,-7.600902459542282,1
ky,3.4482924051351826,0.01,0
mu_norm,1.0,0.0,0
gamma_omega_n,0.19469946112588996,2.569843563179505e-09,0
