n,m,rho_tor,omega_plasma_kHz,omega_lab_kHz,gamma_cs_a,omega_n_kHz,omega_n_cs_a,omega_e_plasma_kHz,omega_e_lab_kHz,peak_percentage,nu,zeff,eta,shat,beta,ky,ModIndex,mu,xstar
1,5.0,0.9705104311797982,15.029213556218103,20.07270702314832,0.004828076868008351,5.481663643428954,0.20436106911466628,12.206784057354104,17.25027752428432,0.9393719859482612,8.96248071112586,2.647223950725957,1.2268393048863495,0.011016116366321915,0.0007308152547764869,0.010454311076400323,1,2.1345699647004643,10.672849823502359
2,10.0,0.9705104311797982,28.28482389575637,38.371810829616805,0.03306974172631717,10.963327286857908,0.40872213822933257,24.41356811470821,34.50055504856864,0.9393719859482612,4.48124035556293,2.647223950725957,1.2268393048863495,0.011016116366321915,0.0007308152547764869,0.02090862215280065,1,2.1345699647004643,10.672849823502359
2,11.0,0.986495689938056,0.0,4.313656140699356,0.0,5.502432280280551,0.20513534150843754,14.583210626896149,18.896866767595505,0.5611248410606591,7.611096622575436,2.647223950725957,1.650320782530848,0.0419239939397842,0.000213937045943807,0.015765139585754838,1,7.38889603165546,10.672849823502359
3,15.0,0.9705104311797982,40.61818650560306,55.748666906393716,0.05775427836505297,16.444990930286867,0.6130832073439989,36.62035217206232,51.750832572852964,0.9393719859482612,2.9874935703752867,2.647223950725957,1.2268393048863495,0.011016116366321915,0.0007308152547764869,0.031362933229200966,1,2.1345699647004643,10.672849823502359
3,14.0,0.949030239723389,24.68096622122019,35.783049225884255,0.010062096076219601,7.463289048349183,0.2782377446417626,29.830149109203933,40.932232113868,0.7651921608559338,1.7972418584713383,2.647223950725957,2.9969172995922118,0.03558896002420025,0.0022212636007301174,0.041642443041530114,1,-4.925930687770345,10.672849823502359
4,20.0,0.9705104311797982,52.401936946489364,72.57591081421023,0.07457639420758766,21.926654573715812,0.8174442764586651,48.82713622941642,69.00111009713729,0.9393719859482612,2.240620177781465,2.647223950725957,1.2268393048863495,0.011016116366321915,0.0007308152547764869,0.0418172443056013,1,2.1345699647004643,10.672849823502359
4,19.0,0.9545251724215402,46.731238028197716,64.74185346844534,0.015104359984561286,16.25648864148754,0.6060556821663515,46.432005093486154,64.44262053373379,0.8932927098425729,1.549423385678894,2.647223950725957,1.8562136705825187,0.01573210981756496,0.0018223103524643374,0.052413652124148884,1,-3.119756102254533,10.672849823502359
