name,factor,offset,log
nu,0.10869222557916602,-4.605170185988091,1
zeff,0.250000088000031,1.0,0
eta,0.22222968529644463,0.5,0
shat,0.14476482730108395,-6.907755278982137,1
beta,0.18873916581775482,-7.600902459542082,1
ky,3.4482983830246123,0.01,0
mu_norm,1.0000020756516408,0.0,0
omega_omega_n,0.06486169604920901,-2.112727237321356,0
gamma_omega_n,0.16988252745191187,-2.186049639003867,0
