name,factor,offset,log
nu,0.10869222557916602,-4.605170185988091,1
zeff,0.250000088000031,1.0,0
eta,0.22222226284717417,0.5,0
shat,0.14476482730108395,-6.907755278982137,1
beta,0.18873916581774772,-7.600902459542282,1
ky,3.44827718191481,0.01,0
mu_norm,1.0,0.0,0
